fueltype,doornumber,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,price
gas,two,front,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9,111,5000,13495
gas,two,front,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9,111,5000,16500
gas,two,front,94.5,171.2,65.5,52.4,2823,six,152,2.68,3.47,9,154,5000,16500
gas,four,front,99.8,176.6,66.2,54.3,2337,four,109,3.19,3.4,10,102,5500,13950
gas,four,front,99.4,176.6,66.4,54.3,2824,five,136,3.19,3.4,8,115,5500,17450
gas,two,front,99.8,177.3,66.3,53.1,2507,five,136,3.19,3.4,8.5,110,5500,15250
gas,four,front,105.8,192.7,71.4,55.7,2844,five,136,3.19,3.4,8.5,110,5500,17710
gas,four,front,105.8,192.7,71.4,55.7,2954,five,136,3.19,3.4,8.5,110,5500,18920
gas,four,front,105.8,192.7,71.4,55.9,3086,five,131,3.13,3.4,8.3,140,5500,23875
gas,two,front,99.5,178.2,67.9,52,3053,five,131,3.13,3.4,7,160,5500,17859.167
gas,two,front,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,16430
gas,four,front,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,16925
gas,two,front,101.2,176.8,64.8,54.3,2710,six,164,3.31,3.19,9,121,4250,20970
gas,four,front,101.2,176.8,64.8,54.3,2765,six,164,3.31,3.19,9,121,4250,21105
gas,four,front,103.5,189,66.9,55.7,3055,six,164,3.31,3.19,9,121,4250,24565
gas,four,front,103.5,189,66.9,55.7,3230,six,209,3.62,3.39,8,182,5400,30760
gas,two,front,103.5,193.8,67.9,53.7,3380,six,209,3.62,3.39,8,182,5400,41315
gas,four,front,110,197,70.9,56.3,3505,six,209,3.62,3.39,8,182,5400,36880
gas,two,front,88.4,141.1,60.3,53.2,1488,three,61,2.91,3.03,9.5,48,5100,5151
gas,two,front,94.5,155.9,63.6,52,1874,four,90,3.03,3.11,9.6,70,5400,6295
gas,four,front,94.5,158.8,63.6,52,1909,four,90,3.03,3.11,9.6,70,5400,6575
gas,two,front,93.7,157.3,63.8,50.8,1876,four,90,2.97,3.23,9.41,68,5500,5572
gas,two,front,93.7,157.3,63.8,50.8,1876,four,90,2.97,3.23,9.4,68,5500,6377
gas,two,front,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,7957
gas,four,front,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,6229
gas,four,front,93.7,157.3,63.8,50.6,1989,four,90,2.97,3.23,9.4,68,5500,6692
gas,four,front,93.7,157.3,63.8,50.6,1989,four,90,2.97,3.23,9.4,68,5500,7609
gas,two,front,93.7,157.3,63.8,50.6,2191,four,98,3.03,3.39,7.6,102,5500,8558
gas,four,front,103.3,174.6,64.6,59.8,2535,four,122,3.34,3.46,8.5,88,5000,8921
gas,two,front,95.9,173.2,66.3,50.2,2811,four,156,3.6,3.9,7,145,5000,12964
gas,two,front,86.6,144.6,63.9,50.8,1713,four,92,2.91,3.41,9.6,58,4800,6479
gas,two,front,86.6,144.6,63.9,50.8,1819,four,92,2.91,3.41,9.2,76,6000,6855
gas,two,front,93.7,150,64,52.6,1837,four,79,2.91,3.07,10.1,60,5500,5399
gas,two,front,93.7,150,64,52.6,1940,four,92,2.91,3.41,9.2,76,6000,6529
gas,two,front,93.7,150,64,52.6,1956,four,92,2.91,3.41,9.2,76,6000,7129
gas,four,front,96.5,163.4,64,54.5,2010,four,92,2.91,3.41,9.2,76,6000,7295
gas,four,front,96.5,157.1,63.9,58.3,2024,four,92,2.92,3.41,9.2,76,6000,7295
gas,two,front,96.5,167.5,65.2,53.3,2236,four,110,3.15,3.58,9,86,5800,7895
gas,two,front,96.5,167.5,65.2,53.3,2289,four,110,3.15,3.58,9,86,5800,9095
gas,four,front,96.5,175.4,65.2,54.1,2304,four,110,3.15,3.58,9,86,5800,8845
gas,four,front,96.5,175.4,62.5,54.1,2372,four,110,3.15,3.58,9,86,5800,10295
gas,four,front,96.5,175.4,65.2,54.1,2465,four,110,3.15,3.58,9,101,5800,12945
gas,two,front,96.5,169.1,66,51,2293,four,110,3.15,3.58,9.1,100,5500,10345
gas,four,front,94.3,170.7,61.8,53.5,2337,four,111,3.31,3.23,8.5,78,4800,6785
gas,two,front,94.5,155.9,63.6,52,1874,four,90,3.03,3.11,9.6,70,5400,8916.5
gas,four,front,94.5,155.9,63.6,52,1909,four,90,3.03,3.11,9.6,70,5400,8916.5
gas,two,front,96,172.6,65.2,51.4,2734,four,119,3.43,3.23,9.2,90,5000,11048
gas,four,front,113,199.6,69.6,52.8,4066,six,258,3.63,4.17,8.1,176,4750,32250
gas,four,front,113,199.6,69.6,52.8,4066,six,258,3.63,4.17,8.1,176,4750,35550
gas,two,front,102,191.7,70.6,47.8,3950,twelve,326,3.54,2.76,11.5,262,5000,36000
gas,two,front,93.1,159.1,64.2,54.1,1890,four,91,3.03,3.15,9,68,5000,5195
gas,two,front,93.1,159.1,64.2,54.1,1900,four,91,3.03,3.15,9,68,5000,6095
gas,two,front,93.1,159.1,64.2,54.1,1905,four,91,3.03,3.15,9,68,5000,6795
gas,four,front,93.1,166.8,64.2,54.1,1945,four,91,3.03,3.15,9,68,5000,6695
gas,four,front,93.1,166.8,64.2,54.1,1950,four,91,3.08,3.15,9,68,5000,7395
gas,two,front,95.3,169,65.7,49.6,2380,two,70,3.33,3.255,9.4,101,6000,10945
gas,two,front,95.3,169,65.7,49.6,2380,two,70,3.33,3.255,9.4,101,6000,11845
gas,two,front,95.3,169,65.7,49.6,2385,two,70,3.33,3.255,9.4,101,6000,13645
gas,two,front,95.3,169,65.7,49.6,2500,two,80,3.33,3.255,9.4,135,6000,15645
gas,two,front,98.8,177.8,66.5,53.7,2385,four,122,3.39,3.39,8.6,84,4800,8845
gas,four,front,98.8,177.8,66.5,55.5,2410,four,122,3.39,3.39,8.6,84,4800,8495
gas,two,front,98.8,177.8,66.5,53.7,2385,four,122,3.39,3.39,8.6,84,4800,10595
gas,four,front,98.8,177.8,66.5,55.5,2410,four,122,3.39,3.39,8.6,84,4800,10245
diesel,four,front,98.8,177.8,66.5,55.5,2443,four,122,3.39,3.39,22.7,64,4650,10795
gas,four,front,98.8,177.8,66.5,55.5,2425,four,122,3.39,3.39,8.6,84,4800,11245
gas,four,front,104.9,175,66.1,54.4,2670,four,140,3.76,3.16,8,120,5000,18280
diesel,four,front,104.9,175,66.1,54.4,2700,four,134,3.43,3.64,22,72,4200,18344
diesel,four,front,110,190.9,70.3,56.5,3515,five,183,3.58,3.64,21.5,123,4350,25552
diesel,four,front,110,190.9,70.3,58.7,3750,five,183,3.58,3.64,21.5,123,4350,28248
diesel,two,front,106.7,187.5,70.3,54.9,3495,five,183,3.58,3.64,21.5,123,4350,28176
diesel,four,front,115.6,202.6,71.7,56.3,3770,five,183,3.58,3.64,21.5,123,4350,31600
gas,four,front,115.6,202.6,71.7,56.5,3740,eight,234,3.46,3.1,8.3,155,4750,34184
gas,two,front,96.6,180.3,70.5,50.8,3685,eight,234,3.46,3.1,8.3,155,4750,35056
gas,four,front,120.9,208.1,71.7,56.7,3900,eight,308,3.8,3.35,8,184,4500,40960
gas,two,front,112,199.2,72,55.4,3715,eight,304,3.8,3.35,8,184,4500,45400
gas,two,front,102.7,178.4,68,54.8,2910,four,140,3.78,3.12,8,175,5000,16503
gas,two,front,93.7,157.3,64.4,50.8,1918,four,92,2.97,3.23,9.4,68,5500,5389
gas,two,front,93.7,157.3,64.4,50.8,1944,four,92,2.97,3.23,9.4,68,5500,6189
gas,two,front,93.7,157.3,64.4,50.8,2004,four,92,2.97,3.23,9.4,68,5500,6669
gas,two,front,93,157.3,63.8,50.8,2145,four,98,3.03,3.39,7.6,102,5500,7689
gas,two,front,96.3,173,65.4,49.4,2370,four,110,3.17,3.46,7.5,116,5500,9959
gas,two,front,96.3,173,65.4,49.4,2328,four,122,3.35,3.46,8.5,88,5000,8499
gas,two,front,95.9,173.2,66.3,50.2,2833,four,156,3.58,3.86,7,145,5000,12629
gas,two,front,95.9,173.2,66.3,50.2,2921,four,156,3.59,3.86,7,145,5000,14869
gas,two,front,95.9,173.2,66.3,50.2,2926,four,156,3.59,3.86,7,145,5000,14489
gas,four,front,96.3,172.4,65.4,51.6,2365,four,122,3.35,3.46,8.5,88,5000,6989
gas,four,front,96.3,172.4,65.4,51.6,2405,four,122,3.35,3.46,8.5,88,5000,8189
gas,four,front,96.3,172.4,65.4,51.6,2403,four,110,3.17,3.46,7.5,116,5500,9279
gas,four,front,96.3,172.4,65.4,51.6,2403,four,110,3.17,3.46,7.5,116,5500,9279
gas,two,front,94.5,165.3,63.8,54.5,1889,four,97,3.15,3.29,9.4,69,5200,5499
diesel,two,front,94.5,165.3,63.8,54.5,2017,four,103,2.99,3.47,21.9,55,4800,7099
gas,two,front,94.5,165.3,63.8,54.5,1918,four,97,3.15,3.29,9.4,69,5200,6649
gas,four,front,94.5,165.3,63.8,54.5,1938,four,97,3.15,3.29,9.4,69,5200,6849
gas,four,front,94.5,170.2,63.8,53.5,2024,four,97,3.15,3.29,9.4,69,5200,7349
gas,two,front,94.5,165.3,63.8,54.5,1951,four,97,3.15,3.29,9.4,69,5200,7299
gas,two,front,94.5,165.6,63.8,53.3,2028,four,97,3.15,3.29,9.4,69,5200,7799
gas,four,front,94.5,165.3,63.8,54.5,1971,four,97,3.15,3.29,9.4,69,5200,7499
gas,four,front,94.5,170.2,63.8,53.5,2037,four,97,3.15,3.29,9.4,69,5200,7999
gas,two,front,95.1,162.4,63.8,53.3,2008,four,97,3.15,3.29,9.4,69,5200,8249
gas,four,front,97.2,173.4,65.2,54.7,2324,four,120,3.33,3.47,8.5,97,5200,8949
gas,four,front,97.2,173.4,65.2,54.7,2302,four,120,3.33,3.47,8.5,97,5200,9549
gas,four,front,100.4,181.7,66.5,55.1,3095,six,181,3.43,3.27,9,152,5200,13499
gas,four,front,100.4,184.6,66.5,56.1,3296,six,181,3.43,3.27,9,152,5200,14399
gas,four,front,100.4,184.6,66.5,55.1,3060,six,181,3.43,3.27,9,152,5200,13499
gas,two,front,91.3,170.7,67.9,49.7,3071,six,181,3.43,3.27,9,160,5200,17199
gas,two,front,91.3,170.7,67.9,49.7,3139,six,181,3.43,3.27,7.8,200,5200,19699
gas,two,front,99.2,178.5,67.9,49.7,3139,six,181,3.43,3.27,9,160,5200,18399
gas,four,front,107.9,186.7,68.4,56.7,3020,four,120,3.46,3.19,8.4,97,5000,11900
diesel,four,front,107.9,186.7,68.4,56.7,3197,four,152,3.7,3.52,21,95,4150,13200
gas,four,front,114.2,198.9,68.4,58.7,3230,four,120,3.46,3.19,8.4,97,5000,12440
diesel,four,front,114.2,198.9,68.4,58.7,3430,four,152,3.7,3.52,21,95,4150,13860
gas,four,front,107.9,186.7,68.4,56.7,3075,four,120,3.46,2.19,8.4,95,5000,15580
diesel,four,front,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21,95,4150,16900
gas,four,front,114.2,198.9,68.4,56.7,3285,four,120,3.46,2.19,8.4,95,5000,16695
diesel,four,front,114.2,198.9,68.4,58.7,3485,four,152,3.7,3.52,21,95,4150,17075
gas,four,front,107.9,186.7,68.4,56.7,3075,four,120,3.46,3.19,8.4,97,5000,16630
diesel,four,front,107.9,186.7,68.4,56.7,3252,four,152,3.7,3.52,21,95,4150,17950
gas,four,front,108,186.7,68.3,56,3130,four,134,3.61,3.21,7,142,5600,18150
gas,two,front,93.7,157.3,63.8,50.8,1918,four,90,2.97,3.23,9.4,68,5500,5572
gas,two,front,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,7957
gas,four,front,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,6229
gas,four,front,93.7,167.3,63.8,50.8,1989,four,90,2.97,3.23,9.4,68,5500,6692
gas,four,front,93.7,167.3,63.8,50.8,2191,four,98,2.97,3.23,9.4,68,5500,7609
gas,four,front,103.3,174.6,64.6,59.8,2535,four,122,3.35,3.46,8.5,88,5000,8921
gas,two,front,95.9,173.2,66.3,50.2,2818,four,156,3.59,3.86,7,145,5000,12764
gas,two,front,94.5,168.9,68.3,50.2,2778,four,151,3.94,3.11,9.5,143,5500,22018
gas,two,rear,89.5,168.9,65,51.6,2756,six,194,3.74,2.9,9.5,207,5900,32528
gas,two,rear,89.5,168.9,65,51.6,2756,six,194,3.74,2.9,9.5,207,5900,34028
gas,two,rear,89.5,168.9,65,51.6,2800,six,194,3.74,2.9,9.5,207,5900,37028
gas,two,front,98.4,175.7,72.3,50.5,3366,eight,203,3.94,3.11,10,288,5750,31400.5
gas,four,front,96.1,181.5,66.5,55.2,2579,four,132,3.46,3.9,8.7,90,5100,9295
gas,two,front,96.1,176.8,66.6,50.5,2460,four,132,3.46,3.9,8.7,90,5100,9895
gas,two,front,99.1,186.6,66.5,56.1,2658,four,121,3.54,3.07,9.31,110,5250,11850
gas,four,front,99.1,186.6,66.5,56.1,2695,four,121,3.54,3.07,9.3,110,5250,12170
gas,two,front,99.1,186.6,66.5,56.1,2707,four,121,2.54,2.07,9.3,110,5250,15040
gas,four,front,99.1,186.6,66.5,56.1,2758,four,121,3.54,3.07,9.3,110,5250,15510
gas,two,front,99.1,186.6,66.5,56.1,2808,four,121,3.54,3.07,9,160,5500,18150
gas,four,front,99.1,186.6,66.5,56.1,2847,four,121,3.54,3.07,9,160,5500,18620
gas,two,front,93.7,156.9,63.4,53.7,2050,four,97,3.62,2.36,9,69,4900,5118
gas,two,front,93.7,157.9,63.6,53.7,2120,four,108,3.62,2.64,8.7,73,4400,7053
gas,two,front,93.3,157.3,63.8,55.7,2240,four,108,3.62,2.64,8.7,73,4400,7603
gas,four,front,97.2,172,65.4,52.5,2145,four,108,3.62,2.64,9.5,82,4800,7126
gas,four,front,97.2,172,65.4,52.5,2190,four,108,3.62,2.64,9.5,82,4400,7775
gas,four,front,97.2,172,65.4,52.5,2340,four,108,3.62,2.64,9,94,5200,9960
gas,four,front,97,172,65.4,54.3,2385,four,108,3.62,2.64,9,82,4800,9233
gas,four,front,97,172,65.4,54.3,2510,four,108,3.62,2.64,7.7,111,4800,11259
gas,four,front,97,173.5,65.4,53,2290,four,108,3.62,2.64,9,82,4800,7463
gas,four,front,97,173.5,65.4,53,2455,four,108,3.62,2.64,9,94,5200,10198
gas,four,front,96.9,173.6,65.4,54.9,2420,four,108,3.62,2.64,9,82,4800,8013
gas,four,front,96.9,173.6,65.4,54.9,2650,four,108,3.62,2.64,7.7,111,4800,11694
gas,two,front,95.7,158.7,63.6,54.5,1985,four,92,3.05,3.03,9,62,4800,5348
gas,two,front,95.7,158.7,63.6,54.5,2040,four,92,3.05,3.03,9,62,4800,6338
gas,four,front,95.7,158.7,63.6,54.5,2015,four,92,3.05,3.03,9,62,4800,6488
gas,four,front,95.7,169.7,63.6,59.1,2280,four,92,3.05,3.03,9,62,4800,6918
gas,four,front,95.7,169.7,63.6,59.1,2290,four,92,3.05,3.03,9,62,4800,7898
gas,four,front,95.7,169.7,63.6,59.1,3110,four,92,3.05,3.03,9,62,4800,8778
gas,four,front,95.7,166.3,64.4,53,2081,four,98,3.19,3.03,9,70,4800,6938
gas,four,front,95.7,166.3,64.4,52.8,2109,four,98,3.19,3.03,9,70,4800,7198
diesel,four,front,95.7,166.3,64.4,53,2275,four,110,3.27,3.35,22.5,56,4500,7898
diesel,four,front,95.7,166.3,64.4,52.8,2275,four,110,3.27,3.35,22.5,56,4500,7788
gas,four,front,95.7,166.3,64.4,53,2094,four,98,3.19,3.03,9,70,4800,7738
gas,four,front,95.7,166.3,64.4,52.8,2122,four,98,3.19,3.03,9,70,4800,8358
gas,four,front,95.7,166.3,64.4,52.8,2140,four,98,3.19,3.03,9,70,4800,9258
gas,two,front,94.5,168.7,64,52.6,2169,four,98,3.19,3.03,9,70,4800,8058
gas,two,front,94.5,168.7,64,52.6,2204,four,98,3.19,3.03,9,70,4800,8238
gas,two,front,94.5,168.7,64,52.6,2265,four,98,3.24,3.08,9.4,112,6600,9298
gas,two,front,94.5,168.7,64,52.6,2300,four,98,3.24,3.08,9.4,112,6600,9538
gas,two,front,98.4,176.2,65.6,52,2540,four,146,3.62,3.5,9.3,116,4800,8449
gas,two,front,98.4,176.2,65.6,52,2536,four,146,3.62,3.5,9.3,116,4800,9639
gas,two,front,98.4,176.2,65.6,52,2551,four,146,3.62,3.5,9.3,116,4800,9989
gas,two,front,98.4,176.2,65.6,52,2679,four,146,3.62,3.5,9.3,116,4800,11199
gas,two,front,98.4,176.2,65.6,52,2714,four,146,3.62,3.5,9.3,116,4800,11549
gas,two,front,98.4,176.2,65.6,53,2975,four,146,3.62,3.5,9.3,116,4800,17669
gas,four,front,102.4,175.6,66.5,54.9,2326,four,122,3.31,3.54,8.7,92,4200,8948
diesel,four,front,102.4,175.6,66.5,54.9,2480,four,110,3.27,3.35,22.5,73,4500,10698
gas,four,front,102.4,175.6,66.5,53.9,2414,four,122,3.31,3.54,8.7,92,4200,9988
gas,four,front,102.4,175.6,66.5,54.9,2414,four,122,3.31,3.54,8.7,92,4200,10898
gas,four,front,102.4,175.6,66.5,53.9,2458,four,122,3.31,3.54,8.7,92,4200,11248
gas,two,front,102.9,183.5,67.7,52,2976,six,171,3.27,3.35,9.3,161,5200,16558
gas,two,front,102.9,183.5,67.7,52,3016,six,171,3.27,3.35,9.3,161,5200,15998
gas,four,front,104.5,187.8,66.5,54.1,3131,six,171,3.27,3.35,9.2,156,5200,15690
gas,four,front,104.5,187.8,66.5,54.1,3151,six,161,3.27,3.35,9.2,156,5200,15750
diesel,two,front,97.3,171.7,65.5,55.7,2261,four,97,3.01,3.4,23,52,4800,7775
gas,two,front,97.3,171.7,65.5,55.7,2209,four,109,3.19,3.4,9,85,5250,7975
diesel,four,front,97.3,171.7,65.5,55.7,2264,four,97,3.01,3.4,23,52,4800,7995
gas,four,front,97.3,171.7,65.5,55.7,2212,four,109,3.19,3.4,9,85,5250,8195
gas,four,front,97.3,171.7,65.5,55.7,2275,four,109,3.19,3.4,9,85,5250,8495
diesel,four,front,97.3,171.7,65.5,55.7,2319,four,97,3.01,3.4,23,68,4500,9495
gas,four,front,97.3,171.7,65.5,55.7,2300,four,109,3.19,3.4,10,100,5500,9995
gas,two,front,94.5,159.3,64.2,55.6,2254,four,109,3.19,3.4,8.5,90,5500,11595
gas,two,front,94.5,165.7,64,51.4,2221,four,109,3.19,3.4,8.5,90,5500,9980
gas,four,front,100.4,180.2,66.9,55.1,2661,five,136,3.19,3.4,8.5,110,5500,13295
diesel,four,front,100.4,180.2,66.9,55.1,2579,four,97,3.01,3.4,23,68,4500,13845
gas,four,front,100.4,183.1,66.9,55.1,2563,four,109,3.19,3.4,9,88,5500,12290
gas,four,front,104.3,188.8,67.2,56.2,2912,four,141,3.78,3.15,9.5,114,5400,12940
gas,four,front,104.3,188.8,67.2,57.5,3034,four,141,3.78,3.15,9.5,114,5400,13415
gas,four,front,104.3,188.8,67.2,56.2,2935,four,141,3.78,3.15,9.5,114,5400,15985
gas,four,front,104.3,188.8,67.2,57.5,3042,four,141,3.78,3.15,9.5,114,5400,16515
gas,four,front,104.3,188.8,67.2,56.2,3045,four,130,3.62,3.15,7.5,162,5100,18420
gas,four,front,104.3,188.8,67.2,57.5,3157,four,130,3.62,3.15,7.5,162,5100,18950
gas,four,front,109.1,188.8,68.9,55.5,2952,four,141,3.78,3.15,9.5,114,5400,16845
gas,four,front,109.1,188.8,68.8,55.5,3049,four,141,3.78,3.15,8.7,160,5300,19045
gas,four,front,109.1,188.8,68.9,55.5,3012,six,173,3.58,2.87,8.8,134,5500,21485
diesel,four,front,109.1,188.8,68.9,55.5,3217,six,145,3.01,3.4,23,106,4800,22470
gas,four,front,109.1,188.8,68.9,55.5,3062,four,141,3.78,3.15,9.5,114,5400,22625
